cloridrato de clindamicina | cápsula | 300 mg | Componente Básico (CBAF);
cloridrato de clomipramina | comprimido | 10 mg | Componente Básico (CBAF);
cloridrato de clomipramina | comprimido | 25 mg | Componente Básico (CBAF);
cloridrato de clorpromazina | comprimido | 100 mg | Componente Básico (CBAF);
cloridrato de clorpromazina | comprimido | 25 mg | Componente Básico (CBAF);
cloridrato de clorpromazina | solução injetável | 5 mg/mL | Componente Básico (CBAF);
cloridrato de clorpromazina | solução oral | 40 mg/mL | Componente Básico (CBAF);
cloridrato de daunorrubicina | pó liofilizado para solução injetável | 20 mg | Componente Especializado (CEAF);
cloridrato de dobutamina | solução injetável | 12,5 mg/mL | Componente Básico (CBAF);
cloridrato de donepezila | comprimido | 10 mg | Componente Especializado (CEAF);
cloridrato de donepezila | comprimido | 5 mg | Componente Especializado (CEAF);
cloridrato de dopamina | solução injetável | 5 mg/mL | Componente Básico (CBAF);
cloridrato de dorzolamida | solução oftálmica | 20 mg/mL | Componente Especializado (CEAF);
cloridrato de doxorrubicina | pó liofilizado para solução injetável | 10 mg | Componente Especializado (CEAF);
cloridrato de doxorrubicina | pó liofilizado para solução injetável | 50 mg | Componente Especializado (CEAF);
cloridrato de doxorrubicina | solução injetável | 2 mg/mL | Componente Especializado (CEAF);
cloridrato de doxorrubicina lipossomal | frasco-ampola | 2 mg/mL | Componente Especializado (CEAF);
cloridrato de epirrubicina | solução injetável | 2 mg/ml | Componente Especializado (CEAF);
cloridrato de etambutol | comprimido | 400 mg | Componente Estratégico (CESAF);
cloridrato de fingolimode | cápsula | 0,5 mg | Componente Especializado (CEAF);
cloridrato de fluoxetina | cápsula | 20 mg | Componente Básico (CBAF);
cloridrato de fluoxetina | comprimido | 20 mg | Componente Básico (CBAF);
cloridrato de gencitabina | pó liofilizado para solução injetável | 1 g | Componente Especializado (CEAF);
cloridrato de gencitabina | pó liofilizado para solução injetável | 200 mg | Componente Especializado (CEAF);
cloridrato de gencitabina | solução para diluição para infusão | 40 mg/mL | Componente Especializado (CEAF);
cloridrato de hidralazina | comprimido | 25 mg | Componente Básico (CBAF);
cloridrato de hidralazina | comprimido | 50 mg | Componente Básico (CBAF);
cloridrato de hidroxocobalamina | pó para solução injetável | 5 g | Componente Estratégico (CESAF);
cloridrato de idarrubicina | frasco-ampola | 10 mg | Componente Especializado (CEAF);
cloridrato de idarrubicina | frasco-ampola | 5 mg | Componente Especializado (CEAF);
cloridrato de irinotecano | solução para diluição para infusão | 20 mg/mL | Componente Especializado (CEAF);
cloridrato de irinotecano | suspensão injetável de libração prolongada | 4,3 mg/mL | Componente Especializado (CEAF);
cloridrato de lidocaína | gel | 20 mg/g (2%) | Componente Básico (CBAF);
cloridrato de lidocaína | solução injetável | 10 mg/mL (1%) | Componente Básico (CBAF);
